category,make,model,model_year,gear,fuel_type,engine_cc,mileage_km,price
car,Toyota,Prius 3rd Generation,2010,Automatic,Hybrid,1800,150000,3450000
car,Suzuki,Alto,2002,Manual,Petrol,650,71000,1300000
car,Suzuki,Alto,2015,Manual,Petrol,800,18654,2150000
car,Honda,Fit,2014,Automatic,Petrol,1300,27506,2500000
car,Suzuki,Swift,2007,Manual,Petrol,1300,150000,1975000
pickup,Mahindra,Bolero,2016,Manual,Diesel,1300,10450,2375000
car,Nissan,Sunny N17,2007,Manual,Petrol,1300,90100,2550000
car,Nissan,Sunny,2003,Automatic,Petrol,1500,260000,2250000
car,Nissan,Sunny,2001,Automatic,Petrol,1500,140000,1500000
car,Toyota,Passo,2011,Automatic,Petrol,1000,54008,2985000
car,Suzuki,Wagon R Stingray,2018,Automatic,Petrol,650,16800,3785000
suv,Honda,Vezel,2014,Automatic,Petrol,1500,97000,4350000
car,Suzuki,Alto,2015,Manual,Petrol,800,68000,2025000
pickup,Toyota,Hilux,2007,Manual,Diesel,2500,125000,6025000
car,Honda,Civic FD4,2012,Automatic,Hybrid,1500,47500,4875000
car,Honda,Fit GP5,2014,Automatic,Hybrid,1500,72000,3975000
van,Suzuki,Every,2015,Automatic,Petrol,650,42000,2400000
car,Kia,Rio,2001,Automatic,Petrol,1500,133886,1395000
car,Toyota,Axio,2014,Automatic,Petrol,1500,57000,5500000
van,Daihatsu,Hijet,2007,Automatic,Petrol,650,140000,2125000
car,Toyota,Vitz,2019,Automatic,Petrol,1000,3220,5975000
suv,Honda,Vezel,2016,Automatic,Hybrid,1500,30000,5590000
car,Toyota,Corolla 141,2008,Automatic,Petrol,1600,144500,3675000
car,Toyota,Premio,2012,Automatic,Petrol,1500,37303,6500000
suv,Hyundai,Santa Fe,2006,Automatic,Petrol,2500,110000,2385000
car,Toyota,Vitz,2005,Automatic,Petrol,1000,70000,3150000
van,Toyota,Noah KR42,2002,Manual,Diesel,2800,239000,3850000
car,Toyota,Tank,2017,Automatic,Petrol,1000,18990,5695000
van,Nissan,Caravan,2007,Automatic,Diesel,3000,211000,4250000
car,Honda,Grace EX,2015,Automatic,Hybrid,1500,78000,4895000
van,Suzuki,Every,2007,Automatic,Petrol,650,123450,2435000
suv,Toyota,RAV4,2003,Automatic,Petrol,2000,156000,3150000
car,Honda,Fit GP1,2012,Automatic,Petrol,1300,86000,3385000
van,Toyota,KDH 201,2010,Automatic,Diesel,3000,108210,7650000
car,Suzuki,Alto 800 LXI,2011,Manual,Petrol,800,125000,1690000
suv,Nissan,X-Trail,2004,Manual,Diesel,2200,120060,3750000
car,Mahindra,KUV 100,2019,Manual,Petrol,1200,73,3250000
pickup,Toyota,Hilux Vigo,2008,Automatic,Diesel,3000,130000,5725000
car,Micro,MX 7,2015,Manual,Petrol,1500,59000,1995000
suv,Honda,Vezel Z Orange,2014,Automatic,Hybrid,1500,81000,4925000
car,Suzuki,Wagon R FZ,2018,Automatic,Petrol,650,41000,3300000
car,Suzuki,Wagon R,2018,Automatic,Petrol,650,30000,3400000
car,Honda,Fit GP1,2013,Automatic,Hybrid,1300,78000,3295000
car,Nissan,Tiida,2007,Automatic,Petrol,1500,102000,2875000
van,Daihatsu,Hijet,2007,Manual,Petrol,650,130000,1695000
car,Suzuki,Alto,2017,Manual,Petrol,800,37000,2050000
suv,Honda,Vezel RS,2016,Automatic,Petrol,1500,40000,6690000
car,Toyota,Allion 260,2008,Automatic,Petrol,1500,159000,4980000
car,Suzuki,Alto,2007,Manual,Petrol,800,147000,1400000
car,Suzuki,Wagon R FX,2016,Automatic,Hybrid,650,42000,2425000
van,Toyota,KDH Dark Prime,2017,Automatic,Diesel,3000,26980,11880000
car,Toyota,Vitz,2000,Automatic,Petrol,1000,115000,2300000
car,Suzuki,Alto 800,2015,Manual,Petrol,800,49500,1890000
pickup,Mahindra,Bolero,2017,Manual,Diesel,2500,4300,1975000
van,Toyota,Hiace KDH 201 GL,2010,Automatic,Diesel,2800,200000,5800000
pickup,Toyota,Hilux Vigo,2010,Manual,Diesel,2800,112000,4550000
car,Nissan,N16,2001,Automatic,Petrol,1600,140000,2275000
van,Toyota,KDH 223,2015,Automatic,Diesel,3000,72000,8550000
car,Tata,Indica,2004,Manual,Petrol,1400,150000,1050000
car,Suzuki,Alto,2015,Manual,Petrol,800,70000,1775000
van,Suzuki,Every DA17,2017,Automatic,Petrol,650,79000,3390000
car,Toyota,Prius 3rd Genaration,2010,Automatic,Hybrid,1800,129000,3675000
car,Toyota,Axio Fielder,2015,Automatic,Petrol,1500,60568,4375000
car,Nissan,March,2007,Automatic,Petrol,1300,80000,2490000
van,Daihatsu,Hijet,2000,Manual,Petrol,650,180050,1595000
car,Hyundai,Accent,2001,Manual,Petrol,1500,125000,1265000
suv,Suzuki,Grand Vitara,2000,Manual,Petrol,2000,180000,2425000
car,Nissan,EX Saloon,2004,Automatic,Petrol,1500,190000,2175000
car,Toyota,Prius,2012,Automatic,Petrol,1800,129000,4150000
car,Suzuki,Maruti,2011,Manual,Petrol,800,31000,1360000
suv,Kia,Sorento,2011,Automatic,Petrol,2400,113000,6300000
car,Suzuki,Wagon R Stingray,2017,Automatic,Petrol,650,19500,3095000
car,Toyota,Corolla 121,2004,Automatic,Petrol,1500,154000,3725000
van,Suzuki,Every,2007,Automatic,Petrol,650,99000,2350000
van,Daihatsu,Hijet,2015,Automatic,Petrol,650,150377,2675000
car,Toyota,Vitz,2017,Automatic,Petrol,1000,28000,4700000
car,Hyundai,Trajet,2000,Automatic,Petrol,2000,170000,1700000
car,Toyota,Prius,2018,Automatic,Petrol,1800,145100,8500000
van,Mitsubishi,Mini Cab,2014,Automatic,Petrol,650,63000,2600000
car,Toyota,Prius 3rd Generation,2012,Automatic,Hybrid,1800,194000,4200000
car,Suzuki,Wagon R Stingray,2018,Automatic,Petrol,650,28000,3775000
car,Suzuki,Alto K10,2016,Manual,Petrol,1000,66400,2270000
car,Nissan,Leaf,2014,Automatic,Electric,70,45000,1875000
van,Suzuki,Spacia,2016,Automatic,Hybrid,650,56000,3650000
car,Toyota,Prius W,2009,Automatic,Hybrid,1800,153000,3265000
car,Suzuki,Alto,2015,Manual,Petrol,800,58000,1850000
car,Suzuki,Alto 800 LXI,2011,Manual,Petrol,800,180000,1580000
car,Suzuki,Wagon R FZ,2015,Automatic,Hybrid,650,85000,2975000
car,Suzuki,Wagon R FX,2016,Automatic,Hybrid,650,39000,2650000
car,Hyundai,Sonata,2007,Automatic,Petrol,2000,94156,2195000
car,Suzuki,Wagon R Stingray,2018,Automatic,Hybrid,650,47000,3590000
car,Toyota,Prius S Touring,2011,Automatic,Hybrid,1800,84500,3900000
car,Suzuki,Estilo,2011,Manual,Petrol,1000,84000,1925000
car,Suzuki,Alto,2007,Manual,Petrol,800,120000,1360000
car,Tata,Nano,2015,Manual,Petrol,650,35000,1250000
car,Toyota,Premio,2017,Automatic,Petrol,1500,57000,8790000
car,Chery,QQ,2007,Manual,Petrol,800,56000,960000
van,Suzuki,Every,2016,Automatic,Petrol,650,92000,2900000
car,Toyota,Allion,2013,Automatic,Petrol,1500,102000,5100000
suv,Honda,Vezel,2015,Automatic,Petrol,1500,85000,5290000
car,Suzuki,Alto,2015,Manual,Petrol,800,100000,1785000
car,Suzuki,Maruti,2006,Manual,Petrol,800,99000,1175000
car,Toyota,Prius,2008,Automatic,Hybrid,1800,90000,3010000
car,Toyota,Vitz,2016,Automatic,Petrol,1000,44000,4750000
car,Honda,Fit Shuttle,2014,Automatic,Hybrid,1300,118000,4300000
car,Suzuki,Swift,2008,Automatic,Petrol,1300,139800,2625000
car,Suzuki,Maruti,2011,Manual,Petrol,800,46000,1250000
car,Toyota,Vitz F,2017,Automatic,Petrol,1000,38425,4895000
car,Toyota,Premio,2018,Automatic,Petrol,1500,9000,8835000
car,Suzuki,Maruti 800,2008,Manual,Petrol,800,96000,1150000
car,Suzuki,Alto K10,2012,Manual,Petrol,1000,60700,1640000
car,Toyota,Axio WXB,2019,Automatic,Petrol,1500,25000,6400000
car,Tata,Nano,2011,Manual,Petrol,650,80000,895000
car,Suzuki,Alto,2015,Manual,Petrol,800,42500,1825000
car,Toyota,Vitz Edition 3,2019,Automatic,Petrol,1000,1611,5675000
car,Suzuki,Wagon R FX,2018,Automatic,Petrol,650,39000,3325000
car,Honda,Fit Aria,2003,Automatic,Petrol,1300,85000,2790000
car,Suzuki,Wagon R FZ,2017,Automatic,Hybrid,650,42000,3475000
car,Honda,N Box,2016,Automatic,Petrol,650,39000,3765000
car,Tata,Indica V2,2015,Manual,Petrol,1300,31000,1665000
car,Honda,Grace EX,2015,Automatic,Hybrid,1500,20000,5400000
suv,Honda,Vezel Z Orange,2014,Automatic,Petrol,1500,53500,5275000
car,Suzuki,Maruti Zen,2006,Manual,Petrol,1000,140000,1240000
car,Toyota,Vitz,2016,Automatic,Petrol,1000,33000,4600000
van,Suzuki,Every,2016,Automatic,Petrol,650,24500,3750000
car,Nissan,March K11,2001,Automatic,Petrol,1000,145000,1850000
car,Toyota,Passo,2008,Automatic,Petrol,1000,93000,2175000
car,Tata,Nano,2012,Manual,Petrol,650,84824,840000
suv,Mitsubishi,Montero,2000,Automatic,Petrol,3500,134007,6500000
van,Nissan,Vanette,2003,Manual,Diesel,2200,257000,2830000
car,Suzuki,Maruti Zen,2005,Manual,Petrol,1000,123741,1375000
car,Toyota,Passo,2015,Automatic,Petrol,1000,62000,3675000
car,Toyota,Vitz,2003,Automatic,Petrol,1000,180000,2550000
van,Toyota,KDH TRH GL,2012,Automatic,Petrol,2000,105000,6550000
car,Suzuki,Swift,2004,Automatic,Petrol,1300,108000,2450000
car,Suzuki,Maruti,2005,Manual,Petrol,800,58600,1075000
car,Mitsubishi,Lancer,2008,Automatic,Petrol,1500,116000,3650000
car,Suzuki,Alto 800 LXI,2015,Manual,Petrol,800,55000,1875000
car,Toyota,Axio G Grade,2016,Automatic,Hybrid,1500,75000,5890000
car,Suzuki,Wagon R Stingray,2018,Automatic,Petrol,650,19800,3650000
car,Suzuki,Wagon R FZ,2017,Automatic,Hybrid,650,55000,2800000
car,Suzuki,Wagon R FX,2017,Automatic,Petrol,650,13000,2765000
car,Toyota,Prius,2016,Automatic,Hybrid,1800,46000,8800000
car,Suzuki,Maruti 800,2011,Manual,Petrol,800,60000,1295000
car,Toyota,Passo,2010,Automatic,Petrol,1000,101150,3275000
car,Suzuki,Maruti 800,2004,Manual,Petrol,800,85000,985000
car,Hyundai,Accent,2001,Manual,Petrol,1500,80000,1190000
car,Tata,Indigo,2004,Manual,Petrol,1400,135000,1050000
van,Micro,MPV,2013,Manual,Petrol,1000,49500,1050000
car,Suzuki,Wagon R,2017,Automatic,Petrol,650,53000,2675000
van,Hyundai,H100,2000,Manual,Diesel,2600,255000,1890000
van,Toyota,Townace KR42,2002,Automatic,Petrol,1800,305000,3165000
car,Toyota,Vitz,2009,Automatic,Petrol,1000,99000,2890000
pickup,Mahindra,Bolero,2018,Manual,Diesel,2500,24123,2395000
car,Toyota,Passo,2007,Automatic,Petrol,1000,135000,2450000
van,Nissan,Super GL,2000,Automatic,Petrol,3000,198000,4700000
car,Suzuki,Alto,2010,Manual,Petrol,800,97000,1625000
car,Suzuki,Alto,2015,Manual,Petrol,800,25000,1950000
car,Toyota,Prius,2013,Automatic,Petrol,1800,130000,4300000
car,Suzuki,Ignis,2016,Automatic,Petrol,1300,43000,4350000
car,Suzuki,Wagon R Stingray,2015,Automatic,Hybrid,650,60000,2925000
car,Suzuki,Alto Japan,2017,Automatic,Petrol,650,60000,2650000
car,Micro,Panda,2014,Manual,Petrol,1000,55000,1425000
suv,Mitsubishi,Outlander,2013,Automatic,Petrol,2000,76000,7900000
car,Nissan,N16,2000,Automatic,Petrol,2900,125000,2300000
van,Toyota,Noah,2014,Automatic,Hybrid,1800,36000,7299500
car,Micro,Geely MX7,2012,Manual,Petrol,1500,120000,1600000
suv,Nissan,X-Trail,2016,Automatic,Hybrid,2000,38000,7100000
van,Suzuki,Every,2002,Manual,Petrol,1300,132000,1600000
van,Suzuki,Spacia,2016,Automatic,Petrol,650,96000,1175000
car,Suzuki,Alto K10,2015,Manual,Petrol,1000,55000,2100000
car,Honda,Grace,2015,Automatic,Hybrid,1500,87000,4765000
car,Suzuki,Wagon R Stingray,2014,Automatic,Hybrid,650,51000,2900000
car,Nissan,N16,2003,Automatic,Petrol,1400,161000,2300000
car,Toyota,Soluna,2000,Manual,Petrol,1500,125000,1650000
car,Toyota,Prius,2012,Automatic,Hybrid,1800,166000,4200000
car,Suzuki,800,2006,Manual,Petrol,800,81000,1085000
van,Toyota,Noah,2003,Automatic,Diesel,2100,275000,4300000
car,Suzuki,Swift,2005,Automatic,Petrol,1300,109000,2450000
car,Honda,Fit Shuttle,2014,Automatic,Hybrid,1300,105000,4450000
car,Suzuki,Maruti 800,2005,Manual,Petrol,800,65800,1050000
car,Hyundai,Accent,2004,Manual,Petrol,1300,165000,1375000
car,Toyota,Tank,2017,Automatic,Petrol,1000,27000,4975000
car,Micro,Panda,2018,Manual,Petrol,1000,22000,1850000
car,Hyundai,Eon,2015,Manual,Petrol,800,42000,2000000
car,Toyota,Premio G Superior,2018,Automatic,Petrol,1500,14500,10550000
car,Tata,Nano,2012,Manual,Petrol,650,88064,850000
suv,Honda,Vezel Z Grade,2014,Automatic,Hybrid,1500,82724,4775000
car,Mazda,Axela,2008,Automatic,Petrol,1500,140000,3350000
car,Toyota,Allion 260,2010,Automatic,Petrol,1500,125000,5500000
car,Perodua,Kelisa,2006,Automatic,Petrol,1000,90026,1760000
car,Tata,Nano Twist,2017,Automatic,Petrol,650,33000,1550000
car,Suzuki,Maruti,2005,Manual,Petrol,800,68600,850000
car,Toyota,Axio,2015,Automatic,Hybrid,1500,56000,4650000
van,Nissan,Vanette,2011,Automatic,Petrol,1600,180000,3950000
car,Toyota,Prius,2011,Automatic,Petrol,1800,59000,3800000
car,Mazda,BJ5P,2000,Automatic,Petrol,1500,142000,1850000
car,Suzuki,Wagon R FX,2017,Automatic,Petrol,650,33000,3150000
car,Suzuki,Alto,2004,Manual,Petrol,650,139000,1500000
car,Toyota,Vitz,2016,Automatic,Petrol,1000,27860,3975000
suv,Honda,CRV,2006,Automatic,Petrol,2000,130500,4590000
car,Suzuki,Alto,2015,Manual,Petrol,800,32000,2000000
car,Suzuki,Alto Japan,2003,Automatic,Petrol,650,87000,1860000
car,Suzuki,Wagon R FZ,2018,Automatic,Hybrid,650,15000,3175000
car,Nissan,Sunny Super Saloon,2004,Manual,Petrol,1600,148000,2225000
car,Suzuki,Wagon R,2018,Automatic,Petrol,650,30000,3120000
car,Nissan,March,2001,Automatic,Petrol,1000,160300,1900000
car,Honda,Fit GP1,2013,Automatic,Petrol,1300,99000,3025000
car,Suzuki,Wagon R FZ,2014,Automatic,Petrol,650,18000,3465000
car,Toyota,Vitz,2018,Automatic,Petrol,1000,16500,4925000
van,Toyota,Dolphin,2000,Automatic,Diesel,2000,330000,3950000
car,Suzuki,Wagon R,2017,Automatic,Petrol,650,43800,2875000
car,Honda,Fit Shuttle,2014,Automatic,Hybrid,1300,91000,3475000
car,Suzuki,Swift Beetle,2009,Automatic,Petrol,1500,90000,3400000
suv,Honda,Vezel RS Sensing,2016,Automatic,Hybrid,1500,58000,6990000
van,Suzuki,Spacia,2015,Automatic,Hybrid,650,40000,3610000
car,Suzuki,Hustler,2015,Automatic,Petrol,650,71600,3150000
car,Toyota,Vitz,2018,Automatic,Petrol,1000,19000,5550000
car,Suzuki,Wagon R Stingray,2014,Automatic,Petrol,650,52777,2925000
car,Toyota,Axio,2014,Automatic,Petrol,1500,80000,4750000
car,Toyota,Allion,2013,Automatic,Petrol,1500,71000,6650000
car,Suzuki,Alto 800 LXI,2015,Manual,Petrol,800,59000,1970000
car,Toyota,Vitz,2010,Automatic,Petrol,1000,80000,3450000
car,Honda,Insight,2009,Automatic,Hybrid,1300,145000,2925000
pickup,Toyota,Hilux,2018,Automatic,Diesel,2800,11880,16200000
pickup,Nissan,Navara,2012,Manual,Diesel,2500,130000,3450000
car,Toyota,Premio,2007,Automatic,Petrol,1500,121000,5550000
car,Suzuki,Alto,2015,Manual,Petrol,800,67000,1775000
van,Suzuki,Spacia,2016,Automatic,Hybrid,650,50187,3250000
car,Toyota,Prius,2007,Automatic,Hybrid,1800,147000,2675000
car,Toyota,Vitz,2016,Automatic,Petrol,1000,40950,4475000
suv,Honda,Vezel,2017,Automatic,Hybrid,1500,49500,7118900
car,Suzuki,Swift Center Antenna,2004,Automatic,Petrol,1300,130000,2190000
car,Suzuki,Alto,2015,Manual,Petrol,800,46000,2045000
car,Suzuki,Alto,2017,Manual,Petrol,800,40000,2400000
van,Toyota,KDH 200 Super GL,2006,Automatic,Diesel,2500,125060,7300000
van,Toyota,KDH 201 Super GL,2011,Automatic,Diesel,3000,75690,7950000
car,Toyota,Axio G Grade,2014,Automatic,Petrol,1500,79589,4500000
car,Suzuki,Alto,2013,Manual,Petrol,800,90000,1745000
car,Toyota,Axio,2008,Automatic,Petrol,1500,111000,3850000
car,Nissan,March K11,2000,Automatic,Petrol,1000,161000,1795000
car,Suzuki,Alto,2015,Manual,Petrol,800,47000,1775000
car,Toyota,Vitz,2015,Automatic,Petrol,1000,40000,4425000
car,Toyota,Vitz,2016,Automatic,Petrol,1000,56000,4650000
car,Toyota,Prius,2008,Automatic,Hybrid,1800,110000,2950000
car,Suzuki,Alto,2016,Automatic,Petrol,650,67000,2890000
car,Honda,Fit GP5,2015,Automatic,Hybrid,1500,52000,4575000
car,Suzuki,Wagon R,2014,Automatic,Petrol,650,46000,2550000
van,Nissan,Clipper NV100,2016,Automatic,Petrol,650,21000,2775000
car,Honda,Fit GP1,2013,Automatic,Hybrid,1300,82000,3650000
car,Honda,Fit GP1,2013,Automatic,Hybrid,1300,57000,3550000
car,Toyota,Axio,2015,Automatic,Petrol,1500,41000,5300000
car,Mazda,BJ5P,2000,Manual,Petrol,1500,112000,1885000
car,Toyota,Aqua,2013,Automatic,Hybrid,1500,82500,3100000
car,Mazda,6,2014,Automatic,Petrol,2000,76000,6475000
car,Toyota,Premio,2011,Automatic,Petrol,1500,154000,6150000
car,Suzuki,Maruti,2006,Manual,Petrol,800,84000,1300000
car,Honda,Fit Aria,2011,Automatic,Petrol,1500,14000,3480000
car,Toyota,Premio,2007,Automatic,Petrol,1500,159000,5200000
car,Suzuki,Wagon R,2018,Automatic,Petrol,650,45000,3000000
car,Suzuki,Wagon R FZ,2017,Automatic,Hybrid,650,44000,3500000
van,Nissan,Clipper,2014,Automatic,Petrol,650,60000,3500000
van,Suzuki,Every,2014,Automatic,Petrol,650,32000,2475000
car,Suzuki,Alto,2015,Manual,Petrol,800,43500,1960000
car,Toyota,Corolla 121,2002,Manual,Petrol,1500,154000,2585000
car,Micro,Trend,2010,Automatic,Petrol,1000,43000,1395000
car,Toyota,Corolla Axio,2015,Automatic,Hybrid,1500,85000,4700000
car,Suzuki,Alto,2017,Manual,Petrol,800,98000,2300000
car,Nissan,Leaf G Grade,2015,Automatic,Electric,70,55000,2690000
car,Suzuki,A-Star,2011,Manual,Petrol,1000,105000,2000000
van,Suzuki,Omni,2005,Manual,Petrol,800,89600,1065000
suv,Zotye,Nomad,2008,Manual,Petrol,1300,37000,2400000
suv,Mitsubishi,Montero Sport,2012,Automatic,Diesel,2500,132000,7550000
car,Toyota,Premio,2007,Automatic,Petrol,1500,125000,4690000
car,Toyota,Corolla 110,2000,Automatic,Petrol,1300,135000,2175000
car,Honda,Fit GP1,2012,Automatic,Hybrid,1300,78000,3690000
car,Honda,Fit GP1,2011,Automatic,Hybrid,1300,78000,3025000
car,Suzuki,Estilo,2010,Manual,Petrol,1000,45000,1750000
car,Suzuki,Wagon R Stingray,2016,Automatic,Hybrid,650,80400,3025000
car,Toyota,Aqua,2014,Automatic,Petrol,1500,70000,3950000
car,Micro,MX 7 Geely,2014,Manual,Petrol,1500,95000,1950000
car,Mazda,Familia,2001,Automatic,Petrol,1300,147000,1825000
car,Suzuki,Maruti,2004,Manual,Petrol,800,103300,950000
suv,Honda,Vezel,2016,Automatic,Hybrid,1500,65000,6475000
car,Toyota,Vitz KSP90,2007,Automatic,Petrol,1000,93000,3085000
car,Tata,Indigo,2005,Manual,Petrol,1400,135000,1200000
car,Toyota,Vios,2003,Manual,Petrol,1500,160000,2650000
suv,Mitsubishi,Outlander,2015,Automatic,Hybrid,2000,77000,9800000
car,Nissan,Leaf,2012,Automatic,Electric,80,33500,1500000
car,Suzuki,Wagon R Stingray,2015,Automatic,Petrol,650,45300,2795000
car,Suzuki,Alto,2015,Manual,Petrol,800,42000,1955000
car,Honda,Fit GP1,2012,Automatic,Hybrid,1300,65000,3385000
car,Suzuki,Alto,2015,Manual,Petrol,800,47000,1935000
van,Toyota,KDH Dark Prime,2015,Automatic,Diesel,3000,62000,8475000
car,Tata,Indica,2015,Manual,Petrol,1200,111111,1575000
van,Toyota,Dolphin,2000,Manual,Diesel,2800,300000,4750000
car,Suzuki,Alto,2003,Automatic,Petrol,650,150000,1875000
car,Suzuki,Maruti 800,2010,Manual,Petrol,800,60000,1275000
car,Nissan,Bluebird,2000,Automatic,Petrol,1500,250000,2500000
car,Suzuki,Alto,2015,Manual,Petrol,800,78000,1740000
suv,Micro,Rexton,2008,Automatic,Diesel,2700,110000,4100000
car,Honda,Fit GP5,2014,Automatic,Hybrid,1500,98900,4250000
car,Suzuki,Swift,2003,Manual,Petrol,1300,103600,2175000
car,Honda,Fit Shuttle,2012,Automatic,Hybrid,1300,137000,3485000
car,Toyota,Allion 240,2003,Automatic,Petrol,1500,198000,3900000
van,Toyota,KDH 200,2006,Automatic,Diesel,3800,120000,6395000
car,Suzuki,Wagon R FZ,2015,Automatic,Petrol,650,90000,2875000
car,Nissan,Sunny Super Saloon,2001,Automatic,Petrol,1500,110000,2400000
car,Toyota,Prius,2016,Automatic,Petrol,1800,59966,6500000
suv,Mitsubishi,Outlander,2014,Automatic,Hybrid,2000,71000,7350000
car,Suzuki,Wagon R FZ,2016,Automatic,Petrol,650,47000,2990000
suv,Kia,Sportage,2000,Manual,Diesel,2000,257000,2575000
car,Kia,Spectra,2004,Manual,Petrol,1600,126500,1100000
car,Toyota,Avanza,2014,Automatic,Petrol,1500,61000,5250000
pickup,Toyota,Hilux Vigo,2010,Manual,Diesel,2500,195000,4550000
car,Suzuki,Wagon R Stingray,2018,Automatic,Petrol,650,48000,3700000
car,Toyota,Premio,2007,Automatic,Petrol,1500,172000,4950000
car,Toyota,Prius,2010,Automatic,Hybrid,1800,86789,3860000
van,Toyota,KDH 201 Super GL,2017,Automatic,Diesel,3000,33000,11700000
van,Toyota,Noah KR42,2000,Manual,Diesel,1800,170000,3500000
car,Toyota,Axio,2018,Automatic,Petrol,1500,38000,7700000
car,Daihatsu,Move,2019,Automatic,Petrol,650,2400,4295000
car,Toyota,Premio,2019,Automatic,Petrol,1500,12000,10200000
suv,Honda,CRV,2018,Automatic,Petrol,1500,6300,14000000
car,Nissan,Cefiro,2000,Automatic,Petrol,2000,91000,1890000
car,Renault,KWID,2016,Manual,Petrol,800,69000,1795000
car,Toyota,Passo,2017,Automatic,Petrol,1000,32000,4275000
car,Kia,Spectra,2016,Automatic,Petrol,1600,70000,3550000
car,Toyota,Prius,2010,Automatic,Hybrid,1800,124000,2850000
car,Suzuki,Maruti 800,2006,Manual,Petrol,800,77000,1030000
car,Honda,Fit GP5,2014,Automatic,Hybrid,1500,101000,4100000
car,Suzuki,Alto 800 LXI,2015,Manual,Petrol,800,64000,1850000
van,Toyota,KDH TRH GL,2018,Automatic,Petrol,2000,85500,8650000
car,Nissan,March K11,2000,Manual,Petrol,1000,210500,1850000
car,Toyota,Allion,2002,Automatic,Petrol,1800,146000,3325000
car,Chevrolet,Cruze,2003,Automatic,Petrol,1300,150000,2120000
car,Honda,N Box,2015,Automatic,Petrol,650,72000,3400000
van,Suzuki,Every,2016,Automatic,Petrol,650,32000,3100000
car,Suzuki,Wagon R FZ,2014,Automatic,Hybrid,650,25381,2700000
car,Toyota,Vios,2003,Automatic,Petrol,1500,99000,2500000
car,Hyundai,Eon,2015,Manual,Petrol,800,38100,2230000
car,Toyota,Vitz,2007,Automatic,Petrol,1000,87000,3150000
car,Suzuki,Wagon R,2017,Automatic,Petrol,650,27000,2895000
